job	name	srch	link	AveragePay	MinPay	MaxPay	AverageAdditional	MinAdditional	MaxAdditional	AveragePayRaw	MinPayRaw	MaxPayRaw	AdditionalCashRaw	AdditionalRangeRaw
patent-attorney	Legal	SRCH_KO0,15	https://www.glassdoor.com/Salaries/patent-attorney-salary-SRCH_KO0,15.htm	135668	107000	189000	12111	262	38472	$135,668	$107KLow	$189KHigh	$12,111	$262 - $38,472
event-planning	Marketing	SRCH_KO0,14	https://www.glassdoor.com/Salaries/event-planning-salary-SRCH_KO0,14.htm	60166	59000	61000	1613	1613	1613	$60,166	$59KLow	$61KHigh	$1,613	$1,613 - $1,613
sales-marketing	Marketing	SRCH_KO0,15	https://www.glassdoor.com/Salaries/sales-marketing-salary-SRCH_KO0,15.htm	59561	36000	96000	11681	1283	46689	$59,561	$36KLow	$96KHigh	$11,681	$1,283 - $46,689
content-manager	Marketing	SRCH_KO0,15	https://www.glassdoor.com/Salaries/content-manager-salary-SRCH_KO0,15.htm	64367	44000	95000	5004	983	13076	$64,367	$44KLow	$95KHigh	$5,004	$983 - $13,076
event-director	Marketing	SRCH_KO0,14	https://www.glassdoor.com/Salaries/event-director-salary-SRCH_KO0,14.htm	66534	45000	102000	8339	1553	33994	$66,534	$45KLow	$102KHigh	$8,339	$1,553 - $33,994
marketing-analyst	Marketing	SRCH_KO0,17	https://www.glassdoor.com/Salaries/marketing-analyst-salary-SRCH_KO0,17.htm	60823	43000	80000	4753	1058	12324	$60,823	$43KLow	$80KHigh	$4,753	$1,058 - $12,324
costco	Marketing	SRCH_KO0,6	https://www.glassdoor.com/Salaries/costco-salary-SRCH_KO0,6.htm							NaN	NaN	NaN	NaN	NaN - NaN
marketing-intern	Marketing	SRCH_KO0,16	https://www.glassdoor.com/Salaries/marketing-intern-salary-SRCH_KO0,16.htm	62386	51000	84000				$62,386	$51KLow	$84KHigh	NaN	NaN - NaN
work-from-home	Marketing	SRCH_KO0,14	https://www.glassdoor.com/Salaries/work-from-home-salary-SRCH_KO0,14.htm	10	8	10				$10	$8Low	$10High	NaN	NaN - NaN
director-marketing	Marketing	SRCH_KO0,18	https://www.glassdoor.com/Salaries/director-marketing-salary-SRCH_KO0,18.htm	114950	72000	164000	18686	4706	45213	$114,950	$72KLow	$164KHigh	$18,686	$4,706 - $45,213
advertising	Marketing	SRCH_KO0,11	https://www.glassdoor.com/Salaries/advertising-salary-SRCH_KO0,11.htm	53221	33000	97000	1405	2	24783	$53,221	$33KLow	$97KHigh	$1,405	$2 - $24,783
market-research-analyst	Marketing	SRCH_KO0,23	https://www.glassdoor.com/Salaries/market-research-analyst-salary-SRCH_KO0,23.htm	57599	44000	79000	4048	944	14558	$57,599	$44KLow	$79KHigh	$4,048	$944 - $14,558
communications	Media & Communications	SRCH_KO0,14	https://www.glassdoor.com/Salaries/communications-salary-SRCH_KO0,14.htm	61353	40000	103000	3142	2	31428	$61,353	$40KLow	$103KHigh	$3,142	$2 - $31,428
social-media	Media & Communications	SRCH_KO0,12	https://www.glassdoor.com/Salaries/social-media-salary-SRCH_KO0,12.htm	54115	37000	80000	3533	591	13924	$54,115	$37KLow	$80KHigh	$3,533	$591 - $13,924
communications-manager	Media & Communications	SRCH_KO0,22	https://www.glassdoor.com/Salaries/communications-manager-salary-SRCH_KO0,22.htm	70481	48000	99000	7573	1819	19280	$70,481	$48KLow	$99KHigh	$7,573	$1,819 - $19,280
communications-specialist	Media & Communications	SRCH_KO0,25	https://www.glassdoor.com/Salaries/communications-specialist-salary-SRCH_KO0,25.htm	55988	39000	76000	2978	600	9562	$55,988	$39KLow	$76KHigh	$2,978	$600 - $9,562
communications-director	Media & Communications	SRCH_KO0,23	https://www.glassdoor.com/Salaries/communications-director-salary-SRCH_KO0,23.htm	85709	55000	130000	11124	1883	32407	$85,709	$55KLow	$130KHigh	$11,124	$1,883 - $32,407
social-media-manager	Media & Communications	SRCH_KO0,20	https://www.glassdoor.com/Salaries/social-media-manager-salary-SRCH_KO0,20.htm	55199	37000	81000	4218	582	14243	$55,199	$37KLow	$81KHigh	$4,218	$582 - $14,243
media-relations	Media & Communications	SRCH_KO0,15	https://www.glassdoor.com/Salaries/media-relations-salary-SRCH_KO0,15.htm	59460	34000	124000	5414	5414	5414	$59,460	$34KLow	$124KHigh	$5,414	$5,414 - $5,414
security-officer	Military & Protective Services	SRCH_KO0,16	https://www.glassdoor.com/Salaries/security-officer-salary-SRCH_KO0,16.htm	28963	23000	41000	944	233	4880	$28,963	$23KLow	$41KHigh	$944	$233 - $4,880
security	Military & Protective Services	SRCH_KO0,8	https://www.glassdoor.com/Salaries/security-salary-SRCH_KO0,8.htm	27962	20000	41000	1300	302	11406	$27,962	$20KLow	$41KHigh	$1,300	$302 - $11,406
security-guard	Military & Protective Services	SRCH_KO0,14	https://www.glassdoor.com/Salaries/security-guard-salary-SRCH_KO0,14.htm	28963	23000	41000	944	233	4880	$28,963	$23KLow	$41KHigh	$944	$233 - $4,880
department-of-veterans-affairs	Military & Protective Services	SRCH_KO0,30	https://www.glassdoor.com/Salaries/department-of-veterans-affairs-salary-SRCH_KO0,30.htm	55453	43000	90000				$55,453	$43KLow	$90KHigh	NaN	NaN - NaN
armed-security-officer	Military & Protective Services	SRCH_KO0,22	https://www.glassdoor.com/Salaries/armed-security-officer-salary-SRCH_KO0,22.htm	28963	23000	41000	944	233	4880	$28,963	$23KLow	$41KHigh	$944	$233 - $4,880
police-officer	Military & Protective Services	SRCH_KO0,14	https://www.glassdoor.com/Salaries/police-officer-salary-SRCH_KO0,14.htm	53894	36000	82000	1746	518	14541	$53,894	$36KLow	$82KHigh	$1,746	$518 - $14,541
law-enforcement	Military & Protective Services	SRCH_KO0,15	https://www.glassdoor.com/Salaries/law-enforcement-salary-SRCH_KO0,15.htm	56090	39000	95000	2883	2	21657	$56,090	$39KLow	$95KHigh	$2,883	$2 - $21,657
correctional-officer	Military & Protective Services	SRCH_KO0,20	https://www.glassdoor.com/Salaries/correctional-officer-salary-SRCH_KO0,20.htm	38187	29000	55000	871	201	8062	$38,187	$29KLow	$55KHigh	$871	$201 - $8,062
compliance-specialist	Operations	SRCH_KO0,21	https://www.glassdoor.com/Salaries/compliance-specialist-salary-SRCH_KO0,21.htm	59746	41000	85000	4115	933	14234	$59,746	$41KLow	$85KHigh	$4,115	$933 - $14,234
production-planner	Operations	SRCH_KO0,18	https://www.glassdoor.com/Salaries/production-planner-salary-SRCH_KO0,18.htm	65274	47000	81000	3598	908	9996	$65,274	$47KLow	$81KHigh	$3,598	$908 - $9,996
